Company Name,Latitude,Longitude,Address,City,State,Country,Industry,Revenue,Website,Phone,Email,Potential,Company Type,Product Category,Product Name,Employee,Employee Details
Himmatsingka Linens,12.963383,76.1285508,"Hassan SEZ, Hassan, Karnataka, India",Hassan,Karnataka,India,Textile,,http://www.himatsingka.com,-22377989,info@himatsingka.com,"282000.0, 170000.0",Manufacturer,"""woven""","""Bedding, drapery, upholstery fabrics""",,
RSR Mohata (RSR Mohota Mills),20.745319,78.6021946,"Hinganghat, Wardha, Maharashtra, India",Wardha,Maharashtra,India,Textile,,http://www.rsrmmohota.com,-251344,info@rsrmmohota.com,"276000.0, 167000.0",Manufacturer,"""woven""","""Yarn, grey and processed fabrics""",,
Just Textile,18.9487379,72.8288826,"Kalbadevi, Mumbai, Maharashtra, India",Mumbai,Maharashtra,India,Textile,,Not Available,Not Available,Not Available,"156000.0, 182000.0",Manufacturer,"""woven""","""Fabrics""",,
Babilon,21.1834557,72.8304312,"Ring Road, Surat, Gujarat, India",Surat,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"150000.0, 179000.0",Manufacturer,"""woven""","""Sarees, ethnic wear""",,
Ruby Mills,19.0177989,72.847812,"Dadar, Mumbai, Maharashtra, India",Mumbai,Maharashtra,India,Textile,,http://www.rubymills.com,-24387708,info@rubymills.com,"282000.0, 191000.0",Manufacturer,"""woven""","""Cotton and blended fabrics, microdot interlinings""",,
Diamond,23.0586998,72.6650855,"Nikol Road, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,-22703321,Not Available,"197926.5, 131951.0",Manufacturer,"""woven""","""Cotton fabrics, synthetic fabrics (Diamond Textile Mills)""",,
Dahanu,19.9951474,72.8290262,"Dahanu Road, Palghar, Maharashtra, India",Palghar,Maharashtra,India,Textile,,Not Available,Not Available,Not Available,"263902.0, 197926.5",Cluster,"""woven""","""Textile weaving, balloon manufacturing cluster""",,
Nissan,21.1834557,72.8304312,"Ring Road, Surat, Gujarat, India",Surat,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"197926.5, 158341.2",Exporter,"""woven""","""Fabrics, sarees""",,
Idrish,22.9962406,72.5817855,"Danilimda, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"263902.0, 197926.5",Service Provider,"""woven""","""Fabric dyeing, washing""",,
Chamunda,22.9921815,72.5705126,"Piplaj-Pirana Road, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,-25715543,Not Available,"144000.0, 162000.0",Service Provider,"""woven""","""Fabric processing (Chamunda Processors)""",,
Asopwala,23.0974358,72.5314579,"Narol-Sarkhej Highway, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"197926.5, 158341.2",Service Provider,"""woven""",,,
Alok Textile,18.9987555,72.8292074,"Peninsula Business Park, Lower Parel, Mumbai, Maharashtra, India",Mumbai,Maharashtra,India,Textile,,http://www.alokind.com,-61786931,info@alokind.com,"288000.0, 194000.0",Manufacturer,"""woven""","""Cotton yarn, apparel fabrics, home textiles""",,
Nisha Textiles,22.9904751,72.5825461,"Narol Industrial Area, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"162000.0, 171000.0",Service Provider,"""woven""","""Fabric processing""",,
Foram Textiles,23.0974358,72.5314579,"Narol-Sarkhej Highway, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,-25736654,Not Available,"131951.0, 105560.8",Service Provider,"""woven""","""Textile processing""",,
Sheetal Textiles,22.9904751,72.5825461,"Narol Industrial Area, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"131951.0, 105560.8",Service Provider,"""woven""","""Fabric dyeing, printing""",,
Ashirwad Texprint,23.0974358,72.5314579,"Narol-Sarkhej Highway, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,-25737765,Not Available,"197926.5, 158341.2",Service Provider,"""woven""","""Fabric printing, rotary printing""",,
AR Textiles,22.9641614,72.5903337,"Narol, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"131951.0, 105560.8",Service Provider,"""woven""","""Textile processing""",,
Nikishu,22.9904751,72.5825461,"Narol Industrial Area, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"237511.80000000002, 197926.5",Service Provider,"""woven""","""Fabric processing""",,
Ventri Engeering,11.0320836,77.0155532,"Sri Lakshmi Nagar, Coimbatore, Tamil Nadu, India",Coimbatore,Tamil Nadu,India,Textile,,http://www.vetriengineers.com,-2513671,sales@vetriengineers.com,"276000.0, 174000.0",Manufacturer,"""woven""","""Textile machinery components (Likely Vetri Engineers)""",,
Hi-Tech (Hi-Tech Speciality Fabrics),22.264659,73.191694,"Plot No 5, GIDC, Vadodara, Gujarat, India",Vadodara,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"174000.0, 177000.0",Manufacturer,"""woven""","""Fabric dyeing, printing""",,
Dhanlaxmi Fabrics,19.2812547,73.0482912,"Bhiwandi, Thane, Maharashtra, India",Thane,Maharashtra,India,Textile,,http://www.dfl.net.in,-25862153,info@dfl.net.in,"276000.0, 174000.0",Service Provider,"""woven""","""Fabric processing, printing""",,
Rytham (Rhythm Textiles),21.1834557,72.8304312,"Ring Road, Surat, Gujarat, India",Surat,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"156000.0, 182000.0",Trader,"""woven""","""Synthetic fabrics""",,
VHM Industries,19.1386175,72.8451695,"S.V. Road, Goregaon, Mumbai, Maharashtra, India",Mumbai,Maharashtra,India,Textile,,http://www.vhmgroup.in,-28743264,info@vhmgroup.in,"282000.0, 191000.0",Manufacturer,"""woven""","""Suiting fabrics, shirting""",,
Piyush Dyeing,21.1399524,72.8367776,"Pandesara GIDC, Surat, Gujarat, India",Surat,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"168000.0, 176000.0",Service Provider,"""woven""","""Dyeing and printing""",,
Bishen (Bishan Dyeing),19.204258,73.0979762,"MIDC, Dombivli, Maharashtra, India",Dombivli,Maharashtra,India,Textile,,Not Available,Not Available,Not Available,"162000.0, 166000.0",Service Provider,"""woven""","""Textile processing""",,
Pal Fashion,19.793138,72.7363158,"Tarapur MIDC, Boisar, Maharashtra, India",Boisar,Maharashtra,India,Textile,,Not Available,-273545,Not Available,"156000.0, 160000.0",Manufacturer,"""woven""","""Embroidery, schiffli, processed fabrics""",,
Cryplon Synthetics Pvt. Ltd.,25.3407388,74.6313183,"Bhilwara, Bhilwara, Rajasthan, India",Bhilwara,Rajasthan,India,Textile,,Not Available,-244724,Not Available,"162000.0, 158000.0",Manufacturer,"""woven""","""Synthetic grey fabrics""",,
Angad Pal Industries,19.2029903,72.8494218,"Kandivali, Mumbai, Maharashtra, India",Mumbai,Maharashtra,India,Textile,,http://www.angadpal.com,-28844375,info@angadpal.com,"276000.0, 186000.0",Manufacturer,"""woven""","""Suitings, shirtings, uniform fabrics""",,
"Raymonds, Chindvada",22.057437,78.9381729,"Chhindwara, Chhindwara, Madhya Pradesh, India",Chhindwara,Madhya Pradesh,India,Textile,,http://www.raymond.com,-229071,Not Available,"294000.0, 178000.0",Manufacturer,"""woven""","""Worsted suiting, wool fabrics (Raymond Ltd)""",,
"Vardhman Fabrics Ltd, Budhni",22.7735286,77.6364299,"Pilikarar, Budhni, Budhni, Madhya Pradesh, India",Budhni,Madhya Pradesh,India,Textile,,http://www.vardhman.com,-240806,mngt@vardhman.com,"294000.0, 182000.0",Manufacturer,"""woven""","""Greige and processed fabrics, yarn (Central India)""",,
Kanti fashion,21.1834557,72.8304312,"Ring Road, Surat, Gujarat, India",Surat,Gujarat,India,Textile,,Not Available,Not Available,Not Available,"158341.2, 131951.0",Trader,"""woven""","""Sarees, dress materials""",,
Puspanjali,21.1895045,72.834591,"Salabatpura, Surat, Gujarat, India",Surat,Gujarat,India,Textile,,Not Available,-2334614,Not Available,"197926.5, 131951.0",Service Provider,"""woven""","""Fabric printing (Pushpanjali Prints)""",,
Kadmawala,22.967121,72.6469543,"GIDC, Vatva, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Textile,,Not Available,-25832210,Not Available,"263902.0, 197926.5",Manufacturer,"""woven""","""Textile processing""",,
